name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity
Lotte Choco Pie Cocoa Pie,9000,10,6,8100,168,FALSE,168
Bauli Moonfils Veg - Strawberry,1500,0,5,1500,45,FALSE,47
The Bake Shop Masala Lavash,7500,6,6,7000,100,FALSE,200
Britannia Good Day Nut Cookies,3000,0,6,3000,120,FALSE,120
Sunfeast Mom's Magic Rich Butter Cookies,3000,10,6,2700,200,FALSE,200
The Bake Shop Whole Wheat Toast (Rusk) ,6000,6,4,5600,200,FALSE,200
Open Secret Peanut Butter Story Box,10500,22,6,8100,75,FALSE,75
Open Secret White Choco Story Box,10500,22,6,8100,75,FALSE,75
The Bake Shop Whole Wheat Multigrain Lavash,7500,6,3,7000,100,FALSE,200
McVitie's Oat Cookies,4500,0,2,4500,120,FALSE,120
Britannia Tiger Krunch Biscuits,12000,0,4,12000,400,FALSE,400
McVitie's Butter Cookies,3000,10,6,2700,200,FALSE,200
Bauli Moonfils Strawberry,1500,0,5,1500,45,FALSE,45
Britannia Good Day Butter Cookies,8000,10,6,7200,600,FALSE,600
Parle Hide & Seek Choco Rolls,6000,0,1,6000,120,FALSE,120
The Bake Shop Jeera Ajwain Bread Sticks,6000,6,6,5600,100,FALSE,100
Parle Fab!o Vanilla Creme Sandwich Biscuit,3000,3,6,2900,120,FALSE,120
Sunfeast Farmlite Nuts Digestive,7000,11,6,6200,250,FALSE,250
Britannia Pure Magic - Chocolush,3500,2,6,3400,100,FALSE,100
The Bake Shop Maska & Multigrain Cheese Crackers,13000,10,3,11600,100,FALSE,150
Britannia Nutri Choice Ragi Cookies,7000,10,6,6300,150,FALSE,150
Sunfeast Farmlite 5 Seed Digestive,6000,0,2,6000,250,FALSE,250
Dukes Nibbles - Ranch Crackers,5000,0,6,5000,150,FALSE,150
Danish Butter Cookies,35000,0,1,35000,400,FALSE,400
The Bake Shop Sesame Seed Crackers,13000,10,4,11600,100,FALSE,150
Good Day Butter Cookies,1000,0,0,1000,75,TRUE,75
Britannia Marie Gold Biscuits Packet,3000,0,0,3000,250,TRUE,250
Britannia Good Day Cashew Cookies,2000,0,0,2000,100,TRUE,100
Sunfeast Dark Fantasy Choco Fills,3500,8,0,3200,75,TRUE,75
Britannia Nutri Choice Digestive Biscuits Packet,2500,0,0,2500,100,TRUE,100
Britannia Classic Little Hearts ,2500,0,0,2500,75,TRUE,75
Britannia Good Day Cashew Cookies Packet,4000,5,0,3800,200,TRUE,200
Britannia Nice Time Biscuit,2500,0,0,2500,150,TRUE,150
Britannia Milk Bikis Cream Biscuit,4500,0,0,4500,200,TRUE,200
Britannia Bourbon Chocolate Cream Biscuits,3500,2,0,3400,150,TRUE,150
Dukes Waffy Chocolate Wafer Rolls ,15000,50,0,7500,250,TRUE,250
Britannia Milk Bikis Milky Sandwich,2500,0,0,2500,120,TRUE,120
Britannia Marie Gold Biscuit,2800,0,0,2800,200,TRUE,200
Britannia Marie Gold (Buy 4 Get 1 Free),8000,0,0,8000,600,TRUE,600
Britannia 50-50 Maska Chaska Biscuit,1000,0,0,1000,46,TRUE,45
Unibic Choco Nut Cookies,2500,8,0,2300,75,TRUE,75
Britannia Vita Marie Gold Biscuit,4500,0,0,4500,300,TRUE,300
The Bake Shop Maska Khari,6500,6,0,6100,200,TRUE,100
Parle Fab! Jam-In Cream Filled ,3500,2,0,3400,150,TRUE,150
Sunfeast Nice Biscuit,2500,12,0,2200,150,TRUE,150
Britannia Nutrichoice 5 Grain Digestive Biscuits,7500,0,0,7500,200,TRUE,200
Cadbury Oreo Strawberry Bicuits,3000,3,0,2900,120,TRUE,120
Sunfeast Mom's Magic Cashew & Almond Biscuit,1000,0,0,1000,60,TRUE,60
Britannia Roll Yo! Strawberry Swiss Roll,1000,0,0,1000,28,TRUE,28
Bauli Moonfils Choco Cream (With Egg),1500,0,0,1500,45,TRUE,45
Britannia Nutri Choice Oats Choco Almond Biscuit,2500,10,0,2250,100,TRUE,75
Britannia Nutri Choice Cracker Sugar Free Biscuit,3500,0,0,3500,300,TRUE,300
Cadbury Oreo Chocolatey Sandwich Biscuits Family Pack,8000,0,0,8000,300,TRUE,300
Bauli Moonfils Orange Puff Roll,1500,0,0,1500,45,TRUE,45
Britannia Treat Jimjam Cream Biscuits ,2500,0,0,2500,100,TRUE,100
Britannia Toastea Premium Bake Rusk,5000,6,0,4700,300,TRUE,300
The Bake Shop Jeera Khari,6500,0,0,6500,200,TRUE,200
"Cadbury Oreo Creme Biscuit - Vanilla, Original 120 g",3000,3,0,2900,120,TRUE,120
Britannia Good Day Cashew Cookies,23000,25,0,17200,1000,TRUE,1
Bauli Moonfils - Vanilla,1500,0,0,1500,45,TRUE,45
Britannia Roll Yo! Choco Swiss Roll (With Egg),1000,0,0,1000,28,TRUE,28
Britannia Milk Bikis Cream Biscuit,7000,0,0,7000,500,TRUE,500
Open Secret Choco Almond Story Box,10500,22,0,8100,75,TRUE,75
Parle Monaco Sixer Salted Biscuits ,6000,10,0,5400,200,TRUE,200
Sunfeast Dark Fantasy Bourbon Bliss,3500,17,0,2900,150,TRUE,150
Patanjali Atta Doodh Rusk,4000,0,0,4000,300,TRUE,300
Sunfeast Dark Fantasy Bourbon Bliss,3500,0,0,3500,150,TRUE,150
