name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity
"New Kellogg's Muesli with 21% Fruit, Nut & Seeds",32500,6,6,30500,500,FALSE,500
The Whole Truth Double Cocoa Mini Protein Bar No Sugar,5500,20,5,4400,27,FALSE,27
Sunfeast Yippee Tricolor Pasta Seasoning,2800,17,1,2300,65,FALSE,65
Wingreens Cheesy Chipotle Sauce,9900,49,1,5000,130,FALSE,130
Maggi Rich Tomato Ketchup,10500,4,2,10000,500,FALSE,500
The Whole Truth Dark Chocolate Peanut Butter - Creamy,23500,25,6,17400,325,FALSE,325
Godrej Yummiez Chicken Nuggets,32500,9,1,29300,500,FALSE,500
Go Cheese  Spread Plain,9900,5,6,9400,200,FALSE,200
Kellogg's Real Almond & Honey Corn Flakes,17500,9,6,15800,300,FALSE,300
The Whole Truth Vegan Almond Choco Fudge Energy Bar No Sugar,6000,20,6,4800,40,FALSE,40
Prasuma Vegetable Momos,27000,0,5,27000,24,FALSE,24
MTR Upma,5000,10,6,4500,160,FALSE,160
Ching's Schezwan Masala Instant Noodles,6000,0,1,6000,240,FALSE,240
The Whole Truth Cranberry Protein Bar No Sugar,10000,26,6,7400,52,FALSE,52
Saffola Yummy Masala Noodles ,2000,0,2,2000,46,FALSE,46
Veeba English Mustard,7400,6,2,6900,300,FALSE,300
Dabur Hommade Tamarind Paste,4800,6,6,4500,200,FALSE,200
Yoga Bar Breakfast Muesli - Almond Caramel (No Added Sugar),32500,4,6,30900,400,FALSE,400
The Whole Truth Mini Protein Bar - Peanut Butter No Added Sugar,5500,25,6,4100,27,FALSE,27
ITC Master Chef Crispy Chicken Fries ,17000,4,3,16200,280,FALSE,280
Kelloggs Corn Flakes,9900,13,6,8600,250,FALSE,250
Nissin Cup Noodles Tangy Tomato,5000,10,2,4500,70,FALSE,70
Smith & Jones White Pasta Sauce Mix,4000,0,3,4000,46,FALSE,46
Sunfeast Yippee! Pasta Treat - Sour Cream Onion,2800,10,1,2500,65,FALSE,65
Mothers Recipe Tamrind Date Chutney ,5500,9,2,5000,200,FALSE,200
Veeba Mint Mayonnaise,16900,8,4,15500,300,FALSE,300
Mccain Emotibites - Crispy Happy Potato Snack,13000,0,6,12900,415,FALSE,415
The Whole Truth Energy Bar Choco Cranberry Fudge,6000,26,6,4400,40,FALSE,40
