name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity
Popular Essentials Sona Masouri Steam Rice,6500,9,6,5900,1000,FALSE,1
24 Mantra Organic Tur Dal,26000,20,6,20800,1000,FALSE,1
Gits Gulab Jamun Instant Dessert Mix,9900,10,6,8900,200,FALSE,200
Popular Essentials Black Masoor Whole (Un-Polished),6500,10,3,5800,500,FALSE,500
24 Mantra Organic Peanuts,13500,7,1,12500,500,FALSE,500
Everest Hingraj Powder,9000,10,2,8100,50,FALSE,50
Everest Black Pepper Powder,13500,14,6,11500,100,FALSE,100
Tata Sampann Masoor Dal Stand,15000,10,4,13400,1000,FALSE,1
24 Mantra Organic Besan,9500,7,5,8800,500,FALSE,500
Quaker Oats,19900,7,6,18400,1000,FALSE,1
Saffola Gold Refined Cooking Oil (Jar),48500,7,6,44900,2000,FALSE,2
Nestle Everyday Dairy Whitener,21000,0,4,21000,400,FALSE,400
24 Mantra Organic Red Poha,7500,8,1,6900,500,FALSE,500
Everest Powder - Tea Masala,9800,9,5,8900,100,FALSE,100
Tata Sampann Urad Dal Split,9400,4,6,9000,500,FALSE,500
Popular Essentials Idli Sooji ,3000,6,6,2800,500,FALSE,500
Popular Essentials Dessicated Coconut,9500,9,6,8600,200,FALSE,200
Sunfeast Yippee! Mood Masala Noodles,6000,28,3,4300,260,FALSE,260
Chef's Basket Durum Wheat Elbow Pasta,16000,50,6,8000,500,FALSE,500
MTR Breakfast Khatta Meetha Poha Mix,2500,20,6,2000,60,FALSE,60
Satyam Khobra,11300,10,5,10100,200,FALSE,200
Betty Crocker Complete Pancake Mix Original,11000,4,6,10500,250,FALSE,500
Borges Durum Wheat Fusilli Pasta ,25000,0,3,25000,500,FALSE,500
24 Mantra Organic Green Moong Dal - Split,13500,0,2,13500,500,FALSE,500
Weikfield Vanilla Flavoured Custard Powder,3700,0,6,3700,100,FALSE,100
Tata Sampann Moong Dal Split,18000,1,5,17800,1000,FALSE,200
Tata Sampann Kala Chana,6400,0,5,6400,500,FALSE,500
Saffola Soya Chunks Mealmaker,5000,0,2,5000,200,FALSE,200
24 Mantra Bura Sugar (Demerara),8000,10,6,7200,500,FALSE,500
Popular Essentials Green Cardamom (Elaichi),20000,1,6,19800,50,FALSE,50
Hershey's Syrup Delicious Strawberry,9500,0,1,9500,200,FALSE,200
Popular Essentials Anjeer,19000,11,4,16900,100,FALSE,100
Popular Essentials Mustard Seeds Rai Small,2000,0,2,2000,100,FALSE,100
Weikfield Baking Powder,3300,3,6,3200,100,FALSE,100
Dabur Honey Squeezy,18500,9,6,16700,225,FALSE,225
Tata Sampann High Protein Kali Urad,9100,14,6,7800,500,FALSE,500
Everest Kitchen King Masala,3700,2,6,3600,50,FALSE,50
Chef's Basket Durum Wheat Fusilli Pasta,16000,50,6,8000,500,FALSE,500
TilSona Til Oil,18000,10,2,16200,500,FALSE,500
Top Ramen Chicken Noodles,6000,10,1,5400,280,FALSE,280
Everest Chaat Masala,3500,2,1,3400,50,FALSE,50
Keya Wonder Red Hot Chilli Flakes,8900,10,2,8000,40,FALSE,40
Popular Essentials White Peas (Un-Polished),8000,10,5,7200,500,FALSE,500
Ching’s Secret Chowmein Hakka Noodles Masala ,4400,0,2,4400,60,FALSE,60
Dhara Filtered Groundnut Oil (Jar),105000,1,6,103500,5000,FALSE,5
Pillsbury Choco Chip Pancake Mix,9900,5,6,9400,165,FALSE,165
Hershey's Caramel Syrup,23000,0,1,23000,623,FALSE,623
Pillsbury Multi Grain Atta,6000,6,3,5600,1000,FALSE,1
McCain New Mini Samosa with Cheese Corn Style Filling,12000,1,2,11800,240,FALSE,240
Satyam Puffed Rice Kurmura (A),4300,0,6,4300,200,FALSE,200
MTR 3 Min Poha,2500,0,6,2500,60,FALSE,60
Ching's Manchurian Instant Noodles,1500,0,5,1500,60,FALSE,60
Everest Pav Bhaji Masala,7000,0,2,7000,100,FALSE,100
Hershey's Chocolate Flavour Syrup,22000,6,6,20500,623,FALSE,680
Popular Essentials Dhania (Coriander Seeds),5500,16,4,4600,200,FALSE,200
24 Mantra Red Chilly Whole,7000,7,1,6500,100,FALSE,100
Dabur Honey - World's No.1,12000,0,6,12000,250,FALSE,250
24 Mantra Organic Puffed Rice,4000,2,6,3900,200,FALSE,200
24 Mantra Organic Wheat Daliya ,4800,2,2,4700,500,FALSE,500
24 Mantra Organic Ragi Flour,6500,20,4,5200,500,FALSE,500
Popular Essentials Cinnamon Whole (Dalchini),3500,5,6,3300,25,FALSE,25
